,ticker,queryCount,resultsCount,adjusted,results,status,request_id,count,error
21,BUD,21.0,1.0,True,"[{'v': 49558091.0, 'vw': 53.3602, 'o': 54.51, 'c': 54.03, 'h': 54.7499, 'l': 51.66, 't': 1696132800000, 'n': 624328}]",OK,9d57d9574f767fd291d9eb3a208f06d4,1.0,
22,TAP,120.0,1.0,True,"[{'v': 193433235.0, 'vw': 49.1388, 'o': 44.11, 'c': 53.77, 'h': 57.45, 'l': 42.6, 't': 1635739200000, 'n': 2230835}]",OK,91e2593c9b998dc34b9f88df44671d27,1.0,
23,TAP,120.0,1.0,True,"[{'v': 194100944.0, 'vw': 51.7757, 'o': 46.54, 'c': 55.77, 'h': 57.45, 'l': 46.47, 't': 1641013200000, 'n': 2422641}]",OK,5d513d97e27920f2a609f69237e37934,1.0,
24,TAP,120.0,1.0,True,"[{'v': 189620132.0, 'vw': 53.0272, 'o': 47.58, 'c': 58.22, 'h': 59.38, 'l': 47.34, 't': 1643691600000, 'n': 2409340}]",OK,ed0783c61309fd905c9790c29b419148,1.0,
25,TAP,120.0,1.0,True,"[{'v': 188182783.0, 'vw': 54.1061, 'o': 51.76, 'c': 56.09, 'h': 60.12, 'l': 49.12, 't': 1646110800000, 'n': 2434905}]",OK,02e81c7c3a4cd53892f95b2fcbe44e41,1.0,
26,TAP,120.0,1.0,True,"[{'v': 177858495.0, 'vw': 54.2744, 'o': 53.39, 'c': 49.15, 'h': 60.12, 'l': 49.1, 't': 1648785600000, 'n': 2372252}]",OK,78d0aa0fbf28702f97b326246ad5b32d,1.0,
27,TAP,120.0,1.0,True,"[{'v': 173785804.0, 'vw': 53.5571, 'o': 54.52, 'c': 48.24, 'h': 60.12, 'l': 46.685, 't': 1651377600000, 'n': 2345719}]",OK,88524aae202a1dae4ebd7cb923b86f0e,1.0,
28,TAP,120.0,1.0,True,"[{'v': 164117982.0, 'vw': 52.9584, 'o': 55.98, 'c': 53.5, 'h': 60.12, 'l': 46.685, 't': 1654056000000, 'n': 2286420}]",OK,c2c180ce775c82e93054faef34e43bea,1.0,
29,TAP,120.0,1.0,True,"[{'v': 159448782.0, 'vw': 53.0197, 'o': 54.48, 'c': 50.77, 'h': 60.12, 'l': 46.685, 't': 1656648000000, 'n': 2250213}]",OK,df8eec4ab12127190b6b21582e47dd5e,1.0,
30,TAP,120.0,1.0,True,"[{'v': 153933353.0, 'vw': 51.7091, 'o': 59.49, 'c': 49.98, 'h': 60.12, 'l': 46.685, 't': 1659326400000, 'n': 2218999}]",OK,1c65430ab3804285455b11284ce3f3e3,1.0,
